Ticker,Nombre,Sector,Precio_Actual,Dif_%_vs_Max,PE_Actual,PEG_Ratio,Margen_Op_%,Crec_EPS_%,Crec_Ventas_%,Target_WallSt,Upside_B5_%
META,"Meta Platforms, Inc.",Communication Services,616.77,-21.75,17.64,0.82,34.83,-13.4,28.0,754.77,22.38
AMZN,"Amazon.com, Inc.",Consumer Cyclical,258.51,-9.99,24.86,1.51,13.69,242.3,19.6,328.17,26.95
MARA,"MARA Holdings, Inc.",Financial Services,11.31,-51.77,-9.83,0.1,-265.21,0.0,-26.7,17.99,59.09
RIOT,"Riot Platforms, Inc.",Financial Services,21.8,-28.1,-23.31,,-122.33,0.0,13.9,32.4,48.64
WMT,Walmart Inc.,Consumer Defensive,107.14,-20.54,33.17,4.09,3.45,-9.1,5.9,127.72,19.21
TGT,Target Corporation,Consumer Defensive,164.44,-3.7,17.23,2.05,6.04,100.5,5.3,161.91,-1.54
COST,Costco Wholesale Corporation,Consumer Defensive,915.74,-16.35,40.47,4.44,3.67,45.5,21.5,1072.2,17.09
NFLX,"Netflix, Inc.",Communication Services,78.25,-38.24,20.48,1.45,33.38,11.1,13.4,93.66,19.69
TSLA,"Tesla, Inc.",Consumer Cyclical,354.08,-29.02,164.03,4.23,1.41,-3.0,25.5,390.09,10.17
PYPL,"PayPal Holdings, Inc.",Financial Services,54.96,-29.85,9.5,0.91,16.97,-3.1,4.8,57.07,3.85
SHOP,Shopify Inc.,Technology,145.09,-20.36,59.15,2.61,17.55,68.1,33.7,171.15,17.96
SE,Sea Limited,Consumer Cyclical,112.09,-43.76,21.6,1.14,8.35,7.7,48.1,155.29,38.54
IBM,International Business Machines,Technology,234.89,-28.84,17.85,2.22,16.55,-1.8,1.1,245.35,4.45
QBTS,D-Wave Quantum Inc.,Technology,16.58,-64.53,-43.83,,-1732.06,0.0,-0.6,35.24,112.52
ONDS,Ondas Inc,Technology,7.62,-50.13,-381.0,,-166.3,0.0,1235.4,19.42,154.81
